Latitude,Longitude,Min. Depth,Temp. Gradient
39,-107.0667,90,22
38.9853,-107.0514,100,27
38.9,-107.1019,300,40
38.7672,-106.4692,110,32
38.6833,-106.5,270,27
38.5,-105.3333,380,25
38.4667,-108.5667,3952,23
38.4333,-108.7667,150,22
38.2333,-104.9333,105,38
38.2333,-105,50,22
38.2333,-105.0833,70,26
38.2167,-105.0167,100,36
38.0667,-107.3833,30,66
38.05,-107.5,140,89
38.0167,-103.5333,50,40
37.9333,-107.6667,80,40
37.9333,-104.8167,30,19
37.7833,-106.3667,80,40
37.7833,-108.85,560,39
37.6006,-107.6022,200,31
37.5836,-107.5853,130,28
37.5689,-107.585,300,22
37.4333,-106.6,100,39
37.4167,-106.5,60,30
37.3833,-108.0667,410,30
37.2333,-109.0333,1311,28
37.2167,-104.7167,50,57
37.15,-107.9167,1000,56
37.1,-107.7,2811,41
39.1019,-75.4517,231,49
38.8003,-75.185,159,26
38.7686,-75.6189,289,51
38.7347,-75.4519,176,31
38.4858,-75.0856,187,19
30.9853,-86.9667,60,12
30.7833,-82.0167,20,16
30.7014,-84.8833,20,23
30.5008,-86.5839,40,27
